omp,size,threads,time
TRUE,12800,004,73587599
TRUE,12800,016,73647044
TRUE,12800,050,73785059
TRUE,12800,100,73873459
TRUE,8192,004,29724479
TRUE,8192,016,29825928
TRUE,8192,050,29743294
TRUE,8192,100,29757254
TRUE,4096,004,7136627
TRUE,4096,016,7114091
TRUE,4096,050,7180337
TRUE,4096,100,7061286
TRUE,2048,004,1671773
TRUE,2048,016,1686367
TRUE,2048,050,1688193
TRUE,2048,100,1685556
TRUE,512,004,96666
TRUE,512,016,99274
TRUE,512,050,100699
TRUE,512,100,100856
FALSE,12800,0,87770270
FALSE,8192,0,36026887
FALSE,4096,0,8630504
FALSE,2048,0,2073713
FALSE,512,0,120079
