"","size","Ts","Tp","speedup"
"1",256,0.01853275,0.0483895,0.382991144773143
"2",512,0.0767986,0.0595972,1.28862765364816
"3",1024,0.3077576,0.1098558,2.80146883459954
"4",2048,1.2544476,0.3093914,4.05456518830194
"5",3072,2.8552004,0.6323256,4.51539586567427
"6",4096,5.2321652,1.0872006,4.81251132495696
"7",5120,8.3455964,1.7009582,4.90640887001221
"8",7680,18.9813252,3.7739428,5.02957416312722
"9",8192,22.4415092,4.4613666,5.03018720765964
"10",10240,34.1026504,6.7021726,5.08829784538823
"11",12800,53.0385954,10.4106246,5.094660256984
